"subject" "test" "group" "label" "tBodyAcc-mean-X" "tBodyAcc-mean-Y" "tBodyAcc-mean-Z" "tBodyAcc-std-X" "tBodyAcc-std-Y" "tBodyAcc-std-Z" "tGravityAcc-mean-X" "tGravityAcc-mean-Y" "tGravityAcc-mean-Z" "tGravityAcc-std-X" "tGravityAcc-std-Y" "tGravityAcc-std-Z" "tBodyAccJerk-mean-X" "tBodyAccJerk-mean-Y" "tBodyAccJerk-mean-Z" "tBodyAccJerk-std-X" "tBodyAccJerk-std-Y" "tBodyAccJerk-std-Z" "tBodyGyro-mean-X" "tBodyGyro-mean-Y" "tBodyGyro-mean-Z" "tBodyGyro-std-X" "tBodyGyro-std-Y" "tBodyGyro-std-Z" "tBodyGyroJerk-mean-X" "tBodyGyroJerk-mean-Y" "tBodyGyroJerk-mean-Z" "tBodyGyroJerk-std-X" "tBodyGyroJerk-std-Y" "tBodyGyroJerk-std-Z" "tBodyAccMag-mean" "tBodyAccMag-std" "tGravityAccMag-mean" "tGravityAccMag-std" "tBodyAccJerkMag-mean" "tBodyAccJerkMag-std" "tBodyGyroMag-mean" "tBodyGyroMag-std" "tBodyGyroJerkMag-mean" "tBodyGyroJerkMag-std" "fBodyAcc-mean-X" "fBodyAcc-mean-Y" "fBodyAcc-mean-Z" "fBodyAcc-std-X" "fBodyAcc-std-Y" "fBodyAcc-std-Z" "fBodyAcc-meanFreq-X" "fBodyAcc-meanFreq-Y" "fBodyAcc-meanFreq-Z" "fBodyAccJerk-mean-X" "fBodyAccJerk-mean-Y" "fBodyAccJerk-mean-Z" "fBodyAccJerk-std-X" "fBodyAccJerk-std-Y" "fBodyAccJerk-std-Z" "fBodyAccJerk-meanFreq-X" "fBodyAccJerk-meanFreq-Y" "fBodyAccJerk-meanFreq-Z" "fBodyGyro-mean-X" "fBodyGyro-mean-Y" "fBodyGyro-mean-Z" "fBodyGyro-std-X" "fBodyGyro-std-Y" "fBodyGyro-std-Z" "fBodyGyro-meanFreq-X" "fBodyGyro-meanFreq-Y" "fBodyGyro-meanFreq-Z" "fBodyAccMag-mean" "fBodyAccMag-std" "fBodyAccMag-meanFreq" "fBodyBodyAccJerkMag-mean" "fBodyBodyAccJerkMag-std" "fBodyBodyAccJerkMag-meanFreq" "fBodyBodyGyroMag-mean" "fBodyBodyGyroMag-std" "fBodyBodyGyroMag-meanFreq" "fBodyBodyGyroJerkMag-mean" "fBodyBodyGyroJerkMag-std" "fBodyBodyGyroJerkMag-meanFreq"
1 1 NA NA 0.273416456105263 -0.0166605950243158 -0.103994478273684 -0.632688010968421 -0.507960063356842 -0.676778605884211 0.746632063557895 -0.00756325781052632 0.0894528436336842 -0.976363463894737 -0.959999194631579 -0.949235016526316 0.0847640331821053 0.0200419799757895 0.00580021011496842 -0.634481600442105 -0.571080992590526 -0.802965234210526 -0.00752724889578947 -0.0911061011897895 0.0768509533189474 -0.745178173117895 -0.683402238557895 -0.687494295525263 -0.0885491804918947 -0.0530121829905263 -0.0385729417894737 -0.714343708073684 -0.77329434648421 -0.705358786809474 -0.581577370357895 -0.595552548842105 -0.581577370357895 -0.595552548842105 -0.652567851410526 -0.615496008978947 -0.635900657431579 -0.660238589167368 -0.74411010108421 -0.761784073494737 -0.640747064894737 -0.534376107191579 -0.726121278736842 -0.631323037178947 -0.526693900471579 -0.678176797978947 -0.140602520266316 0.0572369776242105 0.00215721600842105 -0.652249771855789 -0.608278078694737 -0.789612191578947 -0.648937943610526 -0.559905799336842 -0.814802868842105 0.0148847763694737 -0.219610623067368 -0.116646703181053 -0.692290125757895 -0.700403673725263 -0.648728490305263 -0.7635824096 -0.677817653494737 -0.731355915263158 -0.0642081696821053 -0.146120992689474 0.00201048361378948 -0.593162865231579 -0.662304703842105 0.0903599761576842 -0.613560866677263 -0.620927713289474 0.153913493977895 -0.687168922201053 -0.704861710894737 0.00733021457052632 -0.766112878147368 -0.773708032210526 0.12134542672
1 2 NA NA 0.286367846415094 -0.0171151390283019 -0.106168607339623 -0.521135662301887 -0.382981089435849 -0.483566108369434 0.536713499245283 0.12427790500566 0.0900636302354717 -0.95409784509434 -0.951608547735849 -0.92132391 0.112231204641509 -0.0567964139409434 -0.0429210004701887 -0.567760666528302 -0.491234695056604 -0.632380292 -0.0424604519316981 -0.0743991741490566 0.108621011037736 -0.652284909849057 -0.58303671109434 -0.537139849830189 -0.0726742404641509 -0.0563650637207547 -0.0454969348433962 -0.57539131690566 -0.638578955471698 -0.604512759962264 -0.436794141886792 -0.488263942433962 -0.436794141886792 -0.488263942433962 -0.544130678811321 -0.512393522377358 -0.492240963632075 -0.550489630445283 -0.626993886188679 -0.617053685792453 -0.541129383641509 -0.411765526150943 -0.539022312926415 -0.514629302113208 -0.408574337264151 -0.500913479283019 -0.287862405943396 0.0477092257377358 0.104224661964906 -0.585249756443396 -0.525732998677358 -0.605986722424151 -0.588570245807547 -0.489932318622642 -0.656974829883019 -0.0729145803641509 -0.180567308154717 -0.0766357453943396 -0.555161167892453 -0.584492352415094 -0.502605886264151 -0.685804931830189 -0.589839665622641 -0.596159214528302 -0.0378396828660377 -0.0749854974867925 0.0380918587171698 -0.483161963628302 -0.572564395943396 0.128119616816981 -0.502850627056604 -0.528899628377358 0.174071795471698 -0.564814026716981 -0.624863035760377 0.0277667396396226 -0.620249754332076 -0.641027408220755 0.202694079343396
1 3 NA NA 0.279445588367347 -0.0173922031685714 -0.111056056857143 -0.517021212408163 -0.305709924123265 -0.399202576122449 0.743334799387755 -0.142694605795918 -0.188713243204082 -0.965503004693878 -0.959199779795918 -0.940523913877551 0.0345955096367347 -0.0289244331979592 0.0625243509491633 -0.575677806285714 -0.522279542463265 -0.699394097673469 -0.014121366244898 -0.0650885961142857 0.0979105531102041 -0.641041005408163 -0.465775408816327 -0.445592366 -0.0798522299836735 -0.0398777264714286 -0.0357246042857143 -0.718900106734694 -0.72919673622449 -0.686110563061225 -0.393296498403265 -0.446475896061225 -0.393296498403265 -0.446475896061225 -0.564074211734694 -0.570180687122449 -0.428223065877551 -0.462361510897959 -0.705213591612245 -0.749427982530612 -0.534080989857143 -0.382053776518367 -0.514415808489796 -0.511554895646939 -0.313329564218367 -0.38759707144898 -0.334176710163265 -0.112071586085714 -0.115042228987755 -0.589528471408163 -0.539428118265306 -0.66184110944898 -0.599789911244898 -0.536863909081633 -0.73720031444898 -0.169283268673469 -0.35942293794898 -0.226596797128571 -0.611755833857143 -0.550304220165306 -0.50219654244898 -0.653882662734694 -0.425027654428571 -0.481638273020408 -0.27595823477551 -0.333532446553061 -0.268784513320408 -0.45828547455102 -0.527013937142857 -0.0359893825285714 -0.551999311387755 -0.597763797020408 0.118525984146939 -0.551542286979592 -0.498938693142857 -0.196370240020408 -0.738005792040816 -0.784162149795918 0.0680517037755102
1 4 NA NA 0.275508364680851 -0.0157434862085106 -0.106644645576596 -0.770751979574468 -0.730661466468085 -0.819201392765957 0.490081307234043 0.100350851680851 0.178285651643191 -0.980269794680851 -0.977986363617021 -0.966430846595745 0.0808917494680851 0.0128358643617345 -0.0241913013008511 -0.784914315308511 -0.777310225297872 -0.860656392914894 -0.0582969419148936 -0.052759727193617 0.0844638421489362 -0.814592365446808 -0.842262294042553 -0.823867058021277 -0.10809352187234 -0.038951006593617 -0.0734894818 -0.826377433255319 -0.90011427212766 -0.85176774893617 -0.748409310953192 -0.774823834255319 -0.748409310953192 -0.774823834255319 -0.794338654680851 -0.7862394375 -0.78003922393617 -0.813981953021277 -0.86955750893617 -0.887998084893617 -0.778488377617021 -0.744746322585106 -0.823009291702128 -0.768507346808511 -0.74025746512766 -0.831859042797872 -0.183274402361702 0.111341375242553 0.166748202431915 -0.792142949895745 -0.793692820510638 -0.847042648085106 -0.796727483017021 -0.774335576765957 -0.872969603443404 0.151452622787234 -0.0761220026242553 0.0379679479125532 -0.783304669787234 -0.849296599574468 -0.806465121191489 -0.82524162702766 -0.840242696170213 -0.846652320893617 -0.0295456619957447 -0.241532505319149 0.0467730207468085 -0.75913781198234 -0.820027113148936 0.169543104924681 -0.773843999510638 -0.803777948455319 0.2715516819 -0.832440266051064 -0.834290712765957 -0.00282577872127659 -0.884971908085106 -0.900508222553192 0.20238225302766
1 5 NA NA 0.279679168641509 -0.0123644512283019 -0.110316648283019 -0.969729030754717 -0.926015518490566 -0.908374903773585 0.700122185660377 0.157208954754717 0.244375958528302 -0.957455389622642 -0.952322493888679 -0.927784496603774 0.0786290651132076 -0.000381021349716981 -0.00875695871584906 -0.97779849490566 -0.962853071886792 -0.971482187924528 -0.0344929227845283 -0.0825355136037736 0.0944504394622642 -0.974459773207547 -0.938262983584906 -0.948065377169811 -0.0964317159811321 -0.0373847776132075 -0.0609881509622641 -0.980114082830189 -0.972352069811321 -0.979834085283019 -0.933049621320755 -0.911947394962264 -0.933049621320755 -0.911947394962264 -0.975325324339623 -0.960331417358491 -0.934074003584906 -0.920841968679245 -0.980528249433962 -0.968331973584906 -0.970772201698113 -0.938850359622642 -0.939257752264151 -0.969621419622641 -0.924770977735849 -0.900077284339623 -0.0636503006283019 0.0552158733698113 -0.0576679820377358 -0.977176154150943 -0.96157956490566 -0.967416218301887 -0.980650937924528 -0.967455950943396 -0.974234229622642 0.195241478558491 -0.0632561226716981 -0.013603665645283 -0.969170118679245 -0.947499481509434 -0.949348997169811 -0.976220931132075 -0.934132324528302 -0.95264931245283 0.000695102971886795 -0.165628491209434 0.00996660955660377 -0.932906862075472 -0.915737377377358 -0.00309749172452831 -0.960836526603774 -0.958636306415094 0.135963646850943 -0.940600291509434 -0.922782283773585 -0.010614835509434 -0.97012327509434 -0.968117970377358 0.0660468373207547
1 6 NA NA 0.28754232606 -0.016427673722 -0.1138892106 -0.6208060032 -0.598158375694 -0.6495545611 0.6215510356 0.153978049 0.28411269464 -0.979777351 -0.9746106182 -0.96006168 0.05683099032 -0.011356376102 0.0070427911548 -0.666985588842 -0.63302334208 -0.7798032926 -0.094509272268 -0.042396775106 0.10121690628 -0.77349377654 -0.67460562286 -0.68697757448 -0.09793604188 -0.038774965136 -0.03066151584 -0.7467172322 -0.833683087 -0.7620762142 -0.58488283668 -0.65730844026 -0.58488283668 -0.65730844026 -0.67684018824 -0.65877150874 -0.64562707756 -0.68628146254 -0.795657537 -0.8261625254 -0.622989192907 -0.58585741007 -0.6867020006 -0.62041815976 -0.631173708744 -0.658095267 -0.23107244637 0.101320420896 0.146749352538 -0.67148353264 -0.63943487932 -0.7537210436 -0.692792066978 -0.6539473146 -0.8049461234 -0.017009788448 -0.106140222836 0.01493065277 -0.715183083452 -0.73363223 -0.68232781416 -0.79371952428 -0.64644652614 -0.7175309568 0.013104441258 -0.28763123338 -0.0010109096948 -0.658932209306 -0.70973531638 0.129732211276 -0.6444004768086 -0.67988406642 0.207627783006 -0.7350912692 -0.7094494323886 -0.044503967016 -0.830651427 -0.8324230914 0.147393934567
2 1 NA NA 0.269105593220339 -0.0184059322033898 -0.109813050847458 -0.456490847457627 -0.32334593220339 -0.548652203389831 0.541558305084746 0.0566584745762712 0.171214237288136 -0.948174576271186 -0.954999491525424 -0.96006406779661 0.100726271186441 0.0138994915254237 -0.018405593220339 -0.413275593220339 -0.402873559322034 -0.683328644067797 -0.0728622033898305 -0.0398172881355932 0.0977679661016949 -0.637160508474576 -0.679576440677966 -0.588914576271186 -0.0876413559322034 -0.0452057627118644 -0.0509908474576271 -0.578702033898305 -0.705615254237288 -0.572432711864407 -0.422386610169492 -0.392046610169492 -0.422386610169492 -0.392046610169492 -0.479021016949153 -0.386437457627119 -0.533622881355932 -0.600400338983051 -0.672240677966102 -0.637292711864407 -0.427416610169492 -0.321121016949153 -0.579143559322034 -0.470136779661017 -0.368497966101695 -0.568933220338983 -0.161318983050847 0.124662711864407 0.150020169491525 -0.424973898305085 -0.417815593220339 -0.652839830508475 -0.454589322033898 -0.428809491525424 -0.712847288135593 0.0246062711864407 -0.169539152542373 -0.0620181355932203 -0.53744593220339 -0.65281220338983 -0.499161186440678 -0.67027593220339 -0.702131525423729 -0.663506440677966 0.0417194915254237 -0.0837313559322034 0.0821516949152542 -0.35406406779661 -0.510208644067797 0.184202203389831 -0.38616220338983 -0.391982372881356 0.165852881355932 -0.618300677966102 -0.660741186440678 0.0304301694915254 -0.658846101694915 -0.636109491525424 0.0880405084745763
2 2 NA NA 0.279897083333333 -0.0180783333333333 -0.113709791666667 -0.228971666666667 -0.270228958333333 -0.143364583333333 0.949471041666667 -0.0414352083333333 -0.0867079166666667 -0.975945625 -0.963690833333333 -0.948343958333333 0.057658125 0.0183489583333333 -0.00161770833333333 -0.248082291666667 -0.352920416666667 -0.469646041666667 -0.102759791666667 -0.0625308333333333 0.106317291666667 -0.506640625 -0.485093541666667 -0.338883125 -0.078460625 -0.0408175 -0.0451620833333333 -0.570917916666667 -0.587908333333333 -0.508712291666667 -0.141854166666667 -0.308408333333333 -0.141854166666667 -0.308408333333333 -0.281035416666667 -0.321816875 -0.329068541666667 -0.484321458333333 -0.559168958333333 -0.61409375 -0.284167916666667 -0.312810625 -0.298592291666667 -0.209352291666667 -0.295812291666667 -0.1312375 -0.360195208333333 -0.00355125 -0.0422839583333333 -0.330422708333333 -0.413279583333333 -0.44733625 -0.232476875 -0.332288541666667 -0.491295833333333 -0.356315416666667 -0.337111875 -0.360331041666667 -0.426598958333333 -0.477355416666667 -0.317960625 -0.534665 -0.496774583333333 -0.407661666666667 -0.17478375 -0.105950625 -0.168880625 -0.287115416666667 -0.431276875 0.05299 -0.321833958333333 -0.32779125 0.113417291666667 -0.523137916666667 -0.549598958333333 0.06478875 -0.616512916666667 -0.63845125 0.159391875
2 3 NA NA 0.269720638297872 -0.0206063829787234 -0.107841276595745 -0.531606595744681 -0.491261914893617 -0.620451914893617 0.85759 -0.164177234042553 -0.000298297872340426 -0.979122553191489 -0.959334042553191 -0.956688085106383 0.079411914893617 -0.00538553191489362 -0.00878723404255319 -0.549667446808511 -0.572297659574468 -0.736781276595745 0.0113744680851064 -0.0901163829787234 0.077048085106383 -0.671100212765957 -0.692264893617021 -0.570211276595745 -0.0479312765957447 -0.0545887234042553 -0.0689959574468085 -0.717344042553192 -0.790382553191489 -0.72717914893617 -0.511008723404255 -0.51791170212766 -0.511008723404255 -0.51791170212766 -0.605124042553192 -0.529212765957447 -0.563847872340426 -0.643984680851064 -0.763008510638298 -0.778645106382979 -0.543140212765957 -0.512732340425532 -0.646743617021277 -0.528306382978723 -0.51429914893617 -0.637972978723404 -0.202060425531915 0.0246717021276596 0.0827055319148936 -0.563247446808511 -0.591726808510638 -0.708913404255319 -0.57660085106383 -0.581079787234043 -0.763466808510638 -0.0950740425531915 -0.230882978723404 -0.133093617021277 -0.61635829787234 -0.704468510638298 -0.601745319148936 -0.690652340425532 -0.689432340425532 -0.601912765957447 -0.154464893617021 -0.177856382978723 -0.205789361702128 -0.51209085106383 -0.596895957446809 0.0931676595744681 -0.530363191489362 -0.531543617021277 0.0737517021276596 -0.695512127659574 -0.673103404255319 -0.137085744680851 -0.777681276595745 -0.796205957446809 0.094203829787234
2 4 NA NA 0.284959130434783 -0.0198713043478261 -0.110263695652174 -0.563773913043478 -0.415750434782609 -0.675336304347826 0.746000652173913 -0.0410376086956522 -0.0347786956521739 -0.976232608695652 -0.957025434782609 -0.956587608695652 0.03892 0.00820869565217391 -0.0190282608695652 -0.564125869565217 -0.50471652173913 -0.788873913043478 -0.0614180434782609 -0.0576926086956522 0.102373695652174 -0.721590869565217 -0.670661739130435 -0.650754347826087 -0.089915 -0.0534210869565217 -0.0556632608695652 -0.692389130434783 -0.770819130434783 -0.697510869565217 -0.51122847826087 -0.56425 -0.51122847826087 -0.56425 -0.592335869565217 -0.553263043478261 -0.599851739130435 -0.668864130434783 -0.735359565217391 -0.74911847826087 -0.57503652173913 -0.438523260869565 -0.717442173913043 -0.561121086956522 -0.442302391304348 -0.680298260869565 -0.153959565217391 0.0214730434782609 0.031374347826087 -0.592703260869565 -0.535282391304348 -0.773885 -0.573490434782609 -0.50497347826087 -0.802479565217391 -0.0354063043478261 -0.243930217391304 -0.116020652173913 -0.655146739130435 -0.69849 -0.61080652173913 -0.744313913043478 -0.661760434782609 -0.698330869565217 -0.104482173913043 -0.122342608695652 -0.0579730434782609 -0.547883913043478 -0.642777173913043 0.109318913043478 -0.538667391304348 -0.575040217391304 0.154118260869565 -0.685910652173913 -0.716482391304348 0.0463921739130435 -0.75044152173913 -0.765408913043478 0.132873913043478
